2019-11-13 13:46:01.104[main] INFO  com.hoggen.testFrame.TestFrameApplication - Starting TestFrameApplication on wangliugendeMacBook-Pro.local with PID 8528 (/Users/hoggen/Desktop/SelfProject/YLJava/idea/testFrame/target/classes started by hoggen in /Users/hoggen/Desktop/SelfProject/YLJava/idea/testFrame)
2019-11-13 13:46:01.107[main] INFO  com.hoggen.testFrame.TestFrameApplication - No active profile set, falling back to default profiles: default
2019-11-13 13:46:01.877[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-13 13:46:01.962[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 72ms. Found 1 repository interfaces.
2019-11-13 13:46:02.453[main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncConfiguration' of type [com.hoggen.testFrame.config.AsyncConfiguration$$EnhancerBySpringCGLIB$$d5e07772] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 13:46:02.527[main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$db4c0d2b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 13:46:02.842[main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2019-11-13 13:46:02.861[main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2019-11-13 13:46:02.871[main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-13 13:46:02.871[main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.24]
2019-11-13 13:46:03.002[main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-13 13:46:03.002[main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1846 ms
2019-11-13 13:46:03.145[main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-11-13 13:46:03.163[main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-11-13 13:49:01.117[main] INFO  com.hoggen.testFrame.TestFrameApplication - Starting TestFrameApplication on wangliugendeMacBook-Pro.local with PID 8558 (/Users/hoggen/Desktop/SelfProject/YLJava/idea/testFrame/target/classes started by hoggen in /Users/hoggen/Desktop/SelfProject/YLJava/idea/testFrame)
2019-11-13 13:49:01.120[main] INFO  com.hoggen.testFrame.TestFrameApplication - No active profile set, falling back to default profiles: default
2019-11-13 13:49:01.809[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-13 13:49:01.864[main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45ms. Found 1 repository interfaces.
2019-11-13 13:49:02.259[main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncConfiguration' of type [com.hoggen.testFrame.config.AsyncConfiguration$$EnhancerBySpringCGLIB$$1c6f3cde] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 13:49:02.326[main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$21dad297] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 13:49:02.611[main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2019-11-13 13:49:02.624[main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2019-11-13 13:49:02.632[main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-13 13:49:02.633[main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.24]
2019-11-13 13:49:02.727[main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
